name,address,neighborhood,borough,venue_type,cuisine,deal_details,deal_type,fan_countries,website,nyctourism_page,watchworldcup_url,sources
Les Enfants de Boheme,,Lower East Side,Manhattan,Bar,,,,France,,,https://watchworldcup.nyc/venues/les-enfants-de-boheme,wwc
Loreley Beer Garden,,Lower East Side,Manhattan,Bar,,,,Germany,,,https://watchworldcup.nyc/venues/loreley-beer-garden,wwc
Lucky Jack's,"129 Orchard St, New York, NY, 10002",Lower East Side,Manhattan,Restaurants,American (Traditional); Bars/Cocktails,Receive a limited-edition World Cup commemorative cup with eligible purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-lucky-jacks,,fbws
No One Home,,Lower East Side,Manhattan,Bar,,,,United States,,,https://watchworldcup.nyc/venues/no-one-home,wwc
Pizza School NYC,"371 Grand St., Manhattan, NY, 10002",Lower East Side,Manhattan,Restaurants,Pizza,Earn a $26 credit at this pizza-making school for drinks and merchandise during World Cup 2026.,Limited Edition Cup; $26 Offers,,https://pizzaschool.com,https://www.nyctourism.com/offers/fbws-pizza-school-nyc,,fbws
Scarr’s Pizza,"35 Orchard St., New York, NY, 10002",Lower East Side,Manhattan,Restaurants,Pizza,Special World Cup-themed cocktail served in the special cup.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-scarrs-pizza-wc,,fbws
Taqueria Diana (Orchard),,Lower East Side,Manhattan,Restaurant,,,,Mexico,,,https://watchworldcup.nyc/venues/taqueria-diana-orchard,wwc
The Bowery Beer Garden,,Lower East Side,Manhattan,Beer Garden,,,,,,,https://watchworldcup.nyc/venues/the-bowery-beer-garden,wwc
The Skinny Bar & Lounge,"New York, NY",Lower East Side,Manhattan,Restaurants,Bars/Cocktails,One free cup with any purchase of food and/or drink totaling $26 or more.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-the-skinny-bar-lounge-wc,,fbws
Bill's Bar & Burger—Downtown,"Bill's Bar & Burger—Downtown, New York Marriott Downtown, New York, NY, 10006",Lower Manhattan,Manhattan,Restaurants,American (Traditional),"Enjoy a Bill’s Burger, fries, and choice of shake for $26 - and get a collectible cup free!",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-bills-bar-burgerdowntown,,fbws
Century 21 NYC,"22 Cortlandt St., Manhattan, NY, 10007",Lower Manhattan,Manhattan,Shopping,,Receive a limited-edition World Cup commemorative cup with eligible purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-century-21-nyc,,fbws
Eataly NYC Downtown,"Eataly NYC Downtown, 101 Liberty Street, 4 World Trade Center, 3rd Floor, Eataly Downtown, New York, NY, 10007",Lower Manhattan,Manhattan,Restaurants,Italian,Slice into Match-Day Savings! Enjoy special deals on our most popular pizza!,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-eataly-nyc-downtown,,fbws
Five Iron Golf - FiDi,"22 Stone St., Manhattan, NY, 10004",Lower Manhattan,Manhattan,Restaurants,American (New),"From kickoff to last call—we've got you covered! Join us for a world cup match, grab a limited edition collectors cup!",Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-five-iron-golf---fidi,,fbws
Hotel Indigo NYC Financial District,"50 Trinity Pl., Manhattan, NY, 10006",Lower Manhattan,Manhattan,Restaurants,American (New),"Your Match-Day Meal Just Got Better. Dig into one of our delicious entrees and a drink, score a limited-edition collectors cup!",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-hotel-indigo-nyc-financial-district,,fbws
Estelle's,"New York, NY",Meatpacking District,Manhattan,Restaurants,American (New),Score meal and drink deals while watching World Cup 2026 at this Meatpacking District restaurant.,$26 Offers,,https://www.estellesnyc.com,https://www.nyctourism.com/offers/fbws-estelles,,fbws
Puttery,"New York, NY",Meatpacking District,Manhattan,Restaurants,American (Traditional),Wear a team jersey and get free mini golf and a limited-edition souvenir cup!,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-puttery,,fbws
Starbucks Reserve Roastery,"61 Ninth Ave., Manhattan, NY, 10011",Meatpacking District,Manhattan,Restaurants,Coffeehouse,"Experience a flight of signature espresso martinis at Starbucks Reserve, crafted with globally inspired flavors: orange cacao, molé spice and cherry limone.",$26 Offers,,,https://www.nyctourism.com/offers/fbws-starbucks-reserve-roastery,,fbws
Whitney Museum of American Art,"99 Gansevoort St., Manhattan, NY, 10014",Meatpacking District,Manhattan,Restaurants,American (New),Score a free souvenir cup with eligible purchases during World Cup 2026 at this museum cafe.,Limited Edition Cup; $26 Offers,,https://www.frenchettebakerywhitney.com,https://www.nyctourism.com/offers/fbws-frenchette-bakery-at-the-whitney,,fbws
Casa Toscana,"New York, NY",Midtown,Manhattan,Restaurants,Italian,This Bryant Park kiosk is giving away free commemorative cups with any drinks from the bar during World Cup 2026.,Limited Edition Cup,,https://www.casatoscananewyork.com,https://www.nyctourism.com/offers/fbws-casa-toscana,,fbws
Clinton Hall 36th Street,,Midtown,Manhattan,Beer Garden,,,,,,,https://watchworldcup.nyc/venues/clinton-hall-36th-street,wwc
Foley's NY,,Midtown,Manhattan,Bar,,,,United States,,,https://watchworldcup.nyc/venues/foleys-ny,wwc
Football Factory at Legends,,Midtown,Manhattan,Bar,,,,United States; England; Argentina,,,https://watchworldcup.nyc/venues/football-factory-at-legends,wwc
Jack Demsey's,,Midtown,Manhattan,Bar,,,,United States; England,,,https://watchworldcup.nyc/venues/jack-demseys,wwc
Le Pavillon,"New York, NY",Midtown,Manhattan,Restaurants,,,$26 Offers,,,https://www.nyctourism.com/offers/world-cup-cuisine-form-the-dinex-group---daniel-boulud,,fbws
Legends NYC (7th Ave),,Midtown,Manhattan,Bar,,,,United States; England,,,https://watchworldcup.nyc/venues/legends-nyc-7th-ave,wwc
McHale's Bar & Grill,,Midtown,Manhattan,Bar,,,,Scotland,,,https://watchworldcup.nyc/venues/mchales-bar-grill,wwc
Molly Wee Pub,,Midtown,Manhattan,Bar,,,,England,,,https://watchworldcup.nyc/venues/molly-wee-pub,wwc
NYNJ Fan Village at Rockefeller Center,,Midtown,Manhattan,Public Viewing,,,,,,,https://watchworldcup.nyc/venues/nynj-fan-village-rockefeller-center,wwc
NYNJ World Cup 26 & Telemundo Fan Village at Rockefeller Center,,Midtown,Manhattan,fan_zone,,,,,,,https://watchworldcup.nyc/venues/nynj-wc26-telemundo-fan-village-rockefeller-center,wwc
P.J. Carney's (Midtown),,Midtown,Manhattan,Bar,,,,United States,,,https://watchworldcup.nyc/venues/p-j-carneys-midtown,wwc
Pavé,"New York, NY",Midtown,Manhattan,Restaurants,French,Enjoy a special $26 menu throughout the World Cup at this Midtown bakery and café.,Limited Edition Cup; $26 Offers,,https://www.pave46.com,https://www.nyctourism.com/offers/fbws-pave-nyc,,fbws
Playwright Celtic Pub,,Midtown,Manhattan,Bar,,,,United States,,,https://watchworldcup.nyc/venues/playwright-celtic-pub,wwc
Playwright Irish Pub,,Midtown,Manhattan,Bar,,,,Spain,,,https://watchworldcup.nyc/venues/playwright-irish-pub-35th,wwc
Reichenbach Hall,,Midtown,Manhattan,Bar,,,,Germany,,,https://watchworldcup.nyc/venues/reichenbach-hall,wwc
Rosie O'Grady's,,Midtown,Manhattan,Bar,,,,United States,,,https://watchworldcup.nyc/venues/rosie-ogradys,wwc
Rosie's Sports Pub & Grill,,Midtown,Manhattan,Bar,,,,United States; England,,,https://watchworldcup.nyc/venues/rosies-sports-pub-grill,wwc
Sean's Bar & Kitchen,,Midtown,Manhattan,Bar,,,,,,,https://watchworldcup.nyc/venues/seans-bar-kitchen,wwc
Stout NYC (Midtown),,Midtown,Manhattan,Bar,,,,England; United States,,,https://watchworldcup.nyc/venues/stout-nyc-midtown,wwc
Tor na nOg (Penn Station),,Midtown,Manhattan,Bar,,,,England; United States,,,https://watchworldcup.nyc/venues/t-r-na-n-g-penn-station,wwc
Up On 20,"New York, NY",Midtown,Manhattan,Restaurants,American (Traditional),Receive two free World Cup commemorative cups with the purchase of a beer bucket off happy hour.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-up-on-20,,fbws
Via Brasil,,Midtown,Manhattan,Restaurant,,,,Brazil,,,https://watchworldcup.nyc/venues/via-brasil,wwc
Albert's Bar,"140 E. 41st St., Manhattan, NY, 10017",Midtown East,Manhattan,Restaurants,American (New),Burger and a Beer for $26. Enjoy our signature Double Deluxe Burger and a frosty mug of Bitburger Pilsner for $26.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/FBWS-alberts-bar-llc,,fbws
All'Antico Vinaio,"New York, NY",Midtown East,Manhattan,Restaurants,Italian,Enjoy a full sandwich and a drink of your choice for only $26!,$26 Offers,,,https://www.nyctourism.com/offers/fbws-allantico-vinaio,,fbws
Allora,"New York, NY",Midtown East,Manhattan,Restaurants,Italian,,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-allora,,fbws
Bierhaus NYC,"712 Third Ave., Manhattan, NY, 10017",Midtown East,Manhattan,Restaurants,,Get a half-liter of Hofbräu original beer and one large German pretzel for $26.,$26 Offers,,https://www.bierhausnyc.com/,https://www.nyctourism.com/offers/fbws-bierhaus-nyc,https://watchworldcup.nyc/venues/bierhaus-nyc,fbws+wwc
Bonsaii Tapas & Wine Bar,"127 E. 55th St., Manhattan, NY, 10022",Midtown East,Manhattan,Restaurants,Continental,Sirloin Sliders and beer of your choice for $26!,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/FBWS-bonsaii-tapas-wine-bar,,fbws
Bookmarks,"Bookmarks Rooftop Lounge, The Library Hotel, 299 Madison Ave., New York, NY 10017",Midtown East,Manhattan,Restaurants,Bars/Cocktails,Enjoy special deals on Don Julio tequila at this rooftop bar during World Cup 2026.,$26 Offers,,https://www.bookmarkslounge.com,https://www.nyctourism.com/offers/fbws-bookmarks-rooftop-lounge,,fbws
Connolly's Klub 45,,Midtown East,Manhattan,Bar,,,,England,,,https://watchworldcup.nyc/venues/connollys-klub-45,wwc
Cornerstone Tavern,"New York, NY",Midtown East,Manhattan,Restaurants,,"We are offering two pints of Modelo and one 8pc order of wings (mild, med, hot, bbq) for $26.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/FBWS-cornerstone-tavern,,fbws
Dos Caminos Lexington,"480 Lexington Ave., Manhattan, NY, 10167",Midtown East,Manhattan,Restaurants,Mexican,"Offering our Frozen Margarita and 2 Tacos for $26, and the chance to receive your margarita in a limited edition collectible cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-dos-caminos-lexington,,fbws
Doughnut Plant - Grand Central,"New York, NY",Midtown East,Manhattan,Restaurants,American (Traditional),"Sample a ""Stack & Sip"" drink and doughnut combo at this iconic New York doughnut shop during World Cup 2026.",Limited Edition Cup; $26 Offers,,https://www.doughnutplant.com,https://www.nyctourism.com/offers/fbws-doughnut-plant-grand-central,,fbws
Draught 55,"245 E. 55th St., Manhattan, NY, 10022",Midtown East,Manhattan,Restaurants,Gastropub,Snag $26 burger and beer deals at this Irish bar through World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.draught55.com,https://www.nyctourism.com/offers/fbws-draught-55,,fbws
Empire Steak House - Midtown East,"151 E. 50th St., Manhattan, NY, 10022",Midtown East,Manhattan,Restaurants,Steakhouse,Receive a limited-edition collectible cup with qualifying purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-empire-steak-house---midtown-east,,fbws
Five Iron Golf - Grand Central,"101 Park Ave., New York, NY, 10017",Midtown East,Manhattan,Restaurants,American (New),,Limited Edition Cup,,,https://www.nyctourism.com/offers/FBWS-five-iron-golf,,fbws
Fresco by Scotto,"New York, NY",Midtown East,Manhattan,Restaurants,,,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/world-cup-cuisine-form-fresco-by-scotto,,fbws
Grand Brasserie,"Grand Brasserie, Vanderbilt Hall, Vanderbilt Hall, New York, NY, 10017",Midtown East,Manhattan,Restaurants,,Settle in for the match with our special: a pint of draft beer and two delicious sliders for $26.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/FBWS-vizz-group,,fbws
Hampton Inn Grand Central,"New York, NY",Midtown East,Manhattan,Restaurants,American (New),Limited-edition collectible cups available to select guests.,Limited Edition Cup,,,https://www.nyctourism.com/offers/world-cup-cuisine-form-hampton-inn-grand-central,,fbws
InterContinental New York Barclay,"111 E. 48th St., Manhattan, NY, 10017",Midtown East,Manhattan,Restaurants,American (New),Receive a collectible cup with purchase of a 2026 World Soccer Tournament drink special.,Limited Edition Cup,,,https://www.nyctourism.com/offers/FBWS-intercontinental-new-york-barclay,,fbws
Joy Curry and Tandoor,"New York, NY",Midtown East,Manhattan,Restaurants,Indian,World Cup Platters (Halal edition) for $26 and a souvenir cup with qualifying purchase.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-joy-curry-and-tandoor,,fbws
La Piazza,"New York, NY",Midtown East,Manhattan,Restaurants,Italian,Enjoy $26 meal deals at this Midtown Italian restaurant throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://lapiazza.com,https://www.nyctourism.com/offers/fbws-la-piazza,,fbws
Little Thai Kitchen,"243 E. 53rd St., Manhattan, NY, 10022",Midtown East,Manhattan,Restaurants,Thai,Receive a limited-edition World Cup commemorative cup with eligible purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-little-thai-kitchen,,fbws
Lobel's Original,"New York, NY",Midtown East,Manhattan,Restaurants,Sandwiches,$26 - Butcher Bite Combo plus chips and a water or soda.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/FBWS-legends-global,,fbws
M J Smith's,"New York, NY",Midtown East,Manhattan,Restaurants,American (New),Enjoy the World Cup with a burger and beer for $26 during all games and receive a free commemorative cup.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-m-j-smiths,,fbws
Maggie's Place,"21 E. 47th St., Manhattan, NY, 10017",Midtown East,Manhattan,Restaurants,American (New),Enjoy a Maggie's Burger with fries and a draft beer of choice (served in a limited-edition collectible cup) for $26.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-maggies-place,,fbws
McFadden's,,Midtown East,Manhattan,Bar,,,,United States,,,https://watchworldcup.nyc/venues/mcfaddens,wwc
Millennium Hilton New York One UN Plaza,"1 United Nations Plaza, Manhattan, NY, 10017",Midtown East,Manhattan,Restaurants,,"Buy any FIFA specialty sponsored beer and take home a limited edition ""Manhattan"" borough world cup!",Limited Edition Cup,,,https://www.nyctourism.com/offers/FBWS-hilton-hotels-resorts,,fbws
Morton's The Steakhouse—Manhattan,"551 Fifth Ave. (enter on 45th St.), Manhattan, NY, 10017",Midtown East,Manhattan,Restaurants,Steakhouse,Restaurant week pricing during the World Cup. Promotions at the bar and in the dining room!,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/FBWS-mortons-the-steakhouse,,fbws
Overlook Lounge,,Midtown East,Manhattan,Bar,,,,United States; England,,,https://watchworldcup.nyc/venues/overlook-lounge,wwc
Park Ave Kitchen by David Burke,"New York, NY",Midtown East,Manhattan,Restaurants,,"Get a $26 Park Ave Kitchen meal, including a sandwich, wrap or select sushi roll, drink, chips and dessert.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/FBWS-david-burke-hospitality,,fbws
Philippe Chow Fifth Avenue,"New York, NY",Midtown East,Manhattan,Restaurants,Chinese,Enjoy $26 meal deals at this Chinese restaurant during World Cup 2026.,$26 Offers,,https://www.philippechow.com/Fifth-Avenue,https://www.nyctourism.com/offers/fbws-philippe-chow-fifth-avenue,,fbws
Stout NYC - Grand Central,"New York, NY",Midtown East,Manhattan,Restaurants,American (New),Watch the World Cup at this Midtown pub and snag a commemorative cup with eligible purchases.,Limited Edition Cup,United States,https://www.stoutnyc.com,https://www.nyctourism.com/offers/fbws-stout-nyc-grand-central,https://watchworldcup.nyc/venues/stout-nyc-grand-central,fbws+wwc
T-Squared SOcial,"New York, NY",Midtown East,Manhattan,Restaurants,Bars/Cocktails,Enjoy a Casa Migos Margarita and Birria tacos for $26. Get Michelob Ultra 24 oz in the limited-edition commemorative souvenir cup.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-t-squared-social,,fbws
TFS Burger Works,"New York, NY",Midtown East,Manhattan,Restaurants,Burgers,Any burger + hand-cut Belgian-style fries + any local craft beer,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/FBWS-tfs-burger-works,,fbws
The Fitz,"The Fitz, Fitzpatrick Manhattan Hotel 687Lexington Avenue , New York, NY, 10022",Midtown East,Manhattan,Restaurants,Gastropub,"Enjoy a drink, mini Irish beef sliders and fries for $26.",$26 Offers,,,https://www.nyctourism.com/offers/fbws-the-fitz,,fbws
The Parliament,"The Parliament, The Benjamin Royal Sonesta New York, New York, NY, 10022",Midtown East,Manhattan,Restaurants,American (Traditional),Receive a limited-edition World Cup commemorative cup with eligible purchase.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-the-parliament,,fbws
The Pig 'n' Whistle on 3rd,,Midtown East,Manhattan,Bar,,,,England,,,https://watchworldcup.nyc/venues/the-pig-n-whistle-on-3rd,wwc
The Public House,,Midtown East,Manhattan,Bar,,,,United States,,,https://watchworldcup.nyc/venues/the-public-house,wwc
The Smith - Midtown,"956 Second Ave., Manhattan, NY, 10022",Midtown East,Manhattan,Restaurants,American (New),Corner Kick Burger + Bubbles - our limited-time special burger plus a glass of bubbly in a collectible cup for $26.,$26 Offers,,,https://www.nyctourism.com/offers/fbws-the-smith---midtown,,fbws
The Splendid,"16 E. 52nd St., Manhattan, NY, 10022",Midtown East,Manhattan,Restaurants,American (New),Enjoy the World Cup at The Splendid and receive a commemorative cup with eligible purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-the-splendid,,fbws
Veerays,"213 E. 45th St., Manhattan, NY, 10017",Midtown East,Manhattan,Restaurants,Indian,Enjoy a $26 meal and drink deal during World Cup 2026 at this Indian restaurant.,Limited Edition Cup; $26 Offers,,https://www.veerays.com,https://www.nyctourism.com/offers/fbws-veerays,,fbws
1 Hotel Central Park,"1 Hotel Central Park  1414 Sixth Ave., New York, NY, 10019",Midtown West,Manhattan,Restaurants,American (New),"Kick off match day with our Frozen Watermelon Margarita featuring Casamigos Tequila, blended with fresh watermelon.",Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-1-hotel-central-park-wc,,fbws
5 Acres,"5 Acres  30 Rockefeller Pl., New York, NY, 10112",Midtown West,Manhattan,Restaurants,,,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-5-acres,,fbws
Ai Fiori,"400 5th Ave, 2nd Level, New York, New York, 10018",Midtown West,Manhattan,Restaurants,Italian; Burgers,"Celebrate the World Cup at Ai Fiori with a Fiori Burger, fries, and limited-edition collectible cup for $26.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-ai-fiori,,fbws
Ai Fiori,10018,Midtown West,Manhattan,Restaurants,Italian,"In celebration of the World Cup and NYC’s Five Borough Winners Special, every FIORI BURGER, ordered to enjoy at Bar Fiori while dining-in, includes a complimentary limited-edition collectible cup, created exclusively for the 2026 World Cup tournament.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/FBWS-altamarea-group,,fbws
Andrew’s NYC Diner,"463 7th Avenue, New York, NY, 10018",Midtown West,Manhattan,Restaurants,Diner,Enjoy our breakfast sampler at a special price and get a limited-edition collectible cup.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-andrews-nyc-diner,,fbws
Bar 1905,"1905  338 West 36th st, New York, New York, 10018",Midtown West,Manhattan,Restaurants,American (Traditional),Enjoy our combo of fresh popcorn or hot dog plus a drink (soda or beer) and get a limited-edition souvenir cup!,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-bar-1905,,fbws
Bill's Bar & Burger—Rockefeller Center,"45 Rockefeller Center, New York, NY, 10019",Midtown West,Manhattan,Restaurants,American (Traditional),"The Bill’s Burger, a side of fries, and your choice of a classic shake or signature shake.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-bills-bar-burgerrockefeller-center-wc,,fbws
Brooklyn Dumpling Shop,"245 W. 46th St., New York, NY 10036",Midtown West,Manhattan,Restaurants,Asian Fusion,Enjoy special deals on dumplings all World Cup at this fast casual Asian eatery.,Limited Edition Cup; $26 Offers,,https://www.brooklyndumplingshop.com,https://www.nyctourism.com/offers/fbws-brooklyn-dumpling-shop-midtown,,fbws
Bryant Park Lounge,"1033 6th avenue, New york, NY, 10018",Midtown West,Manhattan,Restaurants,American (New),Enjoy Happy Hour Specials during all World Cup games - and get a special edition collectible cup while supplies last!,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-bryant-park-lounge,,fbws
Central Park Cafe,"910 Seventh Ave, New York, NY, 10019",Midtown West,Manhattan,Restaurants,American (Traditional),"Enjoy the Classic Burger Meal, including fries and a soft drink in a limited-edition commemorative souvenir cup, for $26.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-central-park-cafe,,fbws
Haswell Green's,,Midtown West,Manhattan,Bar,,,,,,,https://watchworldcup.nyc/venues/haswell-greens,wwc
Jack Doyle's,,Midtown West,Manhattan,Bar,,,,England; United States,,,https://watchworldcup.nyc/venues/jack-doyles,wwc
La Esquina Midtown,"200 W. 55th St., New York, NY, 10019",Midtown West,Manhattan,Restaurants,Mexican,"For $26, get 1 taco (choice of tinga, short rib or mushroom) and a Sexico, and receive a free commemorative cup with eligible purchases.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-la-esquina-midtown,,fbws
La Esquina Moynihan Train Hall,"441 8th Ave, NYC, NY, 10001",Midtown West,Manhattan,Restaurants,Mexican,Celebrate the World Cup at La Esquina Moynihan Train Hall by receiving a free commemorative cup with eligible purchases.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/FBWS-la-esquina-moynihan-train-hall,,fbws
Le Botaniste,"11 W 42nd street, New York, New York, 10036",Midtown West,Manhattan,Restaurants,Eclectic,,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-le-botaniste,,fbws
Le Botaniste,"11 W 42nd Street, New York, NY, 10036",Midtown West,Manhattan,Restaurants,Vegetarian,"Celebrate the World Cup with a bowl, a fresh beer or lemonade, and a cookie for $26.",$26 Offers,,,https://www.nyctourism.com/offers/fbws-le-botaniste-midtown,,fbws
Le Rock,"45 Rockefeller Plaza, New York, New York, 10111",Midtown West,Manhattan,Restaurants,French,,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-le-rock,,fbws
Little Opus,"130 W. 46th St., New York, NY 10036",Midtown West,Manhattan,Restaurants,American (New),Enjoy a $26 sliders and caipirinha cocktail deal at this hotel bar during all World Cup games.,Limited Edition Cup; $26 Offers,,https://www.themusehotel.com/little-opus,https://www.nyctourism.com/offers/fbws-little-opus,,fbws
Naro,"610 Fifth Ave. #04, New York, NY, 10020",Midtown West,Manhattan,Restaurants,Korean,"For $26, enjoy a fried chicken sandwich or chicken wings, plus fries and a beer.",Limited Edition Cup; $26 Offers,,https://www.naronyc.com,https://www.nyctourism.com/offers/fbws-naro,,fbws
Oceana,Oceana  Oceana,Midtown West,Manhattan,Restaurants,Seafood,Oceana is offering a limited-edition World Cup commemorative souvenir cup with your purchase of draft beer.,Limited Edition Cup,,https://www.oceanarestaurant.com,https://www.nyctourism.com/offers/fbws-oceana,,fbws
Pasta Lovers,"142 W. 49th Street, 142 W49th Street, New York, New York, 10019",Midtown West,Manhattan,Restaurants,Italian,,Limited Edition Cup; $26 Offers,,https://6rh.group/new-york-city-6rh-group-about,https://www.nyctourism.com/offers/fbws-pasta-lovers-trattoria,,fbws
Playwright Tavern,"202 west 49th str New York NY, 202 west 49 th str New York NY, NY, 10019",Midtown West,Manhattan,Restaurants,Bars/Cocktails,Stop by to cheer on Ireland during the World Cup and enjoy our special offers (including a limited-edition souvenir cup)!,$26 Offers,,,https://www.nyctourism.com/offers/fbws-playwright-tavern,,fbws
RPM,"246 West 54th Street, New York, NY, 10019",Midtown West,Manhattan,Restaurants,Bars/Cocktails,Celebrate the World Cup at the RPM Underground by receiving a free commemorative cup with eligible purchases.,Limited Edition Cup,,https://rpmunderground.us,https://www.nyctourism.com/offers/fbws-rpm-underground,,fbws
STK Midtown,"1114 6th Ave, New York, NY, 10036",Midtown West,Manhattan,Restaurants,Steakhouse,"Celebrate the World Cup with two Hat Trick margaritas and buffalo wings for $26, and receive a limited-edition souvenir cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-stk-midtown,,fbws
Tacalle,"19 W 38th St., New York, NY, 10018",Midtown West,Manhattan,Restaurants,Mexican,Receive a limited-edition World Cup commemorative cup with eligible purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-tacalle,,fbws
The Carnegie Club,"Location The Carnegie Club  156 West 56th St, New York City, NY, 10019  Get Directions",Midtown West,Manhattan,Restaurants,Bars/Cocktails,Come and enjoy a selection from our World Cup Special Cocktail Menu.,$26 Offers,,,https://www.nyctourism.com/offers/fbws-the-carnegie-club,,fbws
The Empire Rooftop,"New York, NY",Midtown West,Manhattan,Restaurants,Bars/Cocktails,Come savor a selection from our World Cup Special Drink menu.,$26 Offers,,,https://www.nyctourism.com/offers/fbws-the-empire-rooftop,,fbws
The Placery,"New York, NY",Midtown West,Manhattan,Restaurants,,Order a Placery Cheeseburger and draft beer of your choice for $26 and receive a free commemorative souvenir cup.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-the-placery,,fbws
The Three Monkeys,,Midtown West,Manhattan,Bar,,,,England; United States,,,https://watchworldcup.nyc/venues/the-three-monkeys,wwc
Twenty-Sevens,"New York, NY",Midtown West,Manhattan,Restaurants,,The Twenty-Sevens bar is offering a special wings and beer deal for the World Cup.,Limited Edition Cup; $26 Offers,,https://www.parkcentralny.com/hotel-amenities/twenty-sevens,https://www.nyctourism.com/offers/fbws-twenty-sevens,,fbws
YAMA RAMEN,"New York, NY",Midtown West,Manhattan,Restaurants,Japanese / Sushi,,Limited Edition Cup; $26 Offers,,https://yamaramen.com,https://www.nyctourism.com/offers/fbws-yama-ramen,,fbws
Bar 314,"3143 Broadway, Manhattan, NY, 10027",Morningside Heights,Manhattan,Restaurants,Italian,"$26 - 3 course lunch with choice of one appetizer or salad, a full personal pizza, and dessert.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/world-cup-cuisine-form-bar314,,fbws
Tropical Sensation,"New York, NY",Morningside Heights,Manhattan,Restaurants,Dominican,Score a souvenir cup with $20 purchases at this Dominican restaurant during World Cup 2026.,Limited Edition Cup,,https://tropical107.com,https://www.nyctourism.com/offers/fbws-tropical-sensation,,fbws
Blue Haven East,"493 3rd Ave., New York, New York, 10017",Murray Hill,Manhattan,Restaurants,American (Traditional),$26 for a Stella draft and an order of sliders (3 per order).,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/FBWS-blue-haven-east,,fbws
Momosan Ramen & Sake,"342 Lexington Ave., New York, NY, 10016",Murray Hill,Manhattan,Restaurants,,"World Cup Ramen Set with choice of small ramen, appetizer, and choice of soda in a commemorative cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/world-cup-cuisine-form-momosan-ramen-sake,,fbws
