name,address,neighborhood,borough,venue_type,cuisine,deal_details,deal_type,fan_countries,website,nyctourism_page,watchworldcup_url,sources
Dos Pasos,"New York, NY",Financial District,Manhattan,Restaurants,Mexican,"The perfect match day lineup: tacos, drinks, and World Cup soccer!",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-dos-pasos,,fbws
Fairfield by Marriott Inn & Suites New York Manhattan - Financial District,"New York, NY",Financial District,Manhattan,Restaurants,American (Traditional),Receive a limited-edition collectible cup with a qualifying purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-fairfield-by-marriott-inn-suites-new-york-manhattan---financial-district,,fbws
Krispy Kreme,"New York, NY",Financial District,Manhattan,Restaurants,Dessert,Score sweet savings during the World Cup!,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-krispy-kreme,,fbws
Mercer Labs,"21 Dey St., Manhattan, NY, 10007",Financial District,Manhattan,Museums & Galleries,Bars/Cocktails,Celebrate World Cup 2026 with a free commemorative cup from this museum.,Limited Edition Cup,,https://www.mercerlabs.com,https://www.nyctourism.com/offers/fbws-mercer-labs,,fbws
Metropolis by Marcus Samuelsson,"New York, NY",Financial District,Manhattan,Restaurants,American (New),"Game-day eats, championship deals!",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-metropolis-by-marcus-samuelsson,,fbws
Recreation Bar,"New York, NY",Financial District,Manhattan,Restaurants,American (New),"World-Class Soccer, All-American Favorites! Join us during the World Cup and receive a collectors cup with purchase.",Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-recreation-bar,,fbws
Stout NYC (FiDi),,Financial District,Manhattan,Bar,,,,England,,,https://watchworldcup.nyc/venues/stout-nyc-fidi,wwc
Stout NYC Financial District,"90 John St., Manhattan, NY, 10038",Financial District,Manhattan,Restaurants,American (Traditional),Watch the World Cup at this Financial District pub and snag a commemorative cup with eligible purchases.,Limited Edition Cup,,https://www.stoutnyc.com/location/stout-nyc-financial-district,https://www.nyctourism.com/offers/fbws-stout-nyc-financial-district,,fbws
The Dead Rabbit,,Financial District,Manhattan,Bar,,,,,,,https://watchworldcup.nyc/venues/the-dead-rabbit,wwc
The Irish American Pub,,Financial District,Manhattan,Bar,,,,England,,,https://watchworldcup.nyc/venues/the-irish-american-pub,wwc
Ulysses Folk House,,Financial District,Manhattan,Bar,,,,England,,,https://watchworldcup.nyc/venues/ulysses-folk-house,wwc
White Horse Tavern - Financial District,"New York, NY",Financial District,Manhattan,Restaurants,Gastropub,"Get a burger, slice of cheesecake and beer for $26, plus a limited-edition commemorative cup.",Limited Edition Cup; $26 Offers,,https://www.whitehorsetavernfidi.com,https://www.nyctourism.com/offers/fbws-white-horse-tavern-financial-district,,fbws
BXL Zoute,,Flatiron,Manhattan,Restaurant,,,,Belgium,,,https://watchworldcup.nyc/venues/bxl-zoute,wwc
Markt,,Flatiron,Manhattan,Restaurant,,,,Belgium; Netherlands,,,https://watchworldcup.nyc/venues/markt,wwc
Turnmill NYC,,Flatiron,Manhattan,Bar,,,,England; United States,,,https://watchworldcup.nyc/venues/turnmill-nyc,wwc
Barlume,"New York, NY",Flatiron District,Manhattan,Restaurants,Mediterranean,Enjoy a personal Truffle Pinsa with an Aperol or Hugo Spritz for $26.,$26 Offers,,,https://www.nyctourism.com/offers/fbws-barlume,,fbws
Eataly NYC Flatiron,"200 Fifth Ave., Manhattan, NY, 10010",Flatiron District,Manhattan,Restaurants,Italian,Enjoy a Margherita Romana and a Peroni beer for $26 at Eataly Flatiron's outdoor II Patio.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-eataly-nyc-flatiron,,fbws
Five Iron Golf - Flatiron,"138 Fifth Ave., Manhattan, NY, 10011",Flatiron District,Manhattan,Restaurants,American (New),,Limited Edition Cup,,https://fiveirongolf.com/locations/nyc-flatiron,https://www.nyctourism.com/offers/fbws-five-iron-golf,,fbws
Harry Potter Shop New York,"935 Broadway,(enter on 22nd St. btw. Fifth Ave. & Broadway),Manhattan,10010,NY",Flatiron District,Manhattan,Restaurants,Dessert,Celebrate the magic of the World Cup at Harry Potter Shop NYC with a $26 Butterbeer Bundle.,$26 Offers,,https://harrypottershop.com/pages/new-york,https://www.nyctourism.com/offers/fbws-harry-potter-new-york,,fbws
La Tete d'Or,"New York, NY",Flatiron District,Manhattan,Restaurants,,,$26 Offers,,https://www.latetedorbydaniel.com,https://www.nyctourism.com/offers/tbws-the-dinex-group-daniel-boulud,,fbws
Nar Restaurant,"34 E. 20th St., Manhattan, NY, 10003",Flatiron District,Manhattan,Restaurants,Mediterranean,Get $26 meal deals at this Turkish restaurant throughout World Cup 2026.,$26 Offers,,https://narrestaurant.nyc,https://www.nyctourism.com/offers/fbws-nar-restaurant,,fbws
Wagamama - Nomad/Flatiron,"210 Fifth Ave., Manhattan, NY, 10010",Flatiron District,Manhattan,Restaurants,Asian Fusion,Kick off match day the right way with $26 meal deals at Wagamama during World Cup 2026.,Limited Edition Cup,,https://www.wagamama.us/restaurants/new-york/nomad-flatiron,https://www.nyctourism.com/offers/fbws-wagamama-nomad-flatiron,,fbws
Yakiniku Futago,"37 W. 17th St., Manhattan, NY, 10011",Flatiron District,Manhattan,Restaurants,Steakhouse,,Limited Edition Cup; $26 Offers,,https://www.futago25usa.com,https://www.nyctourism.com/offers/fbws-yakiniku-futago,,fbws
Aliz Hotel Times Square,"310 W. 40th St., Manhattan, NY, 10018",Garment District,Manhattan,Restaurants,American (New),Enjoy a personal-sized platter of nachos and choice of a house margarita or gin and tonic for $26.,$26 Offers,,,https://www.nyctourism.com/offers/fbws-farm-to-burger-at-aliz-hotel-times-square,,fbws
Broken Shaker,"New York, NY",Garment District,Manhattan,Restaurants,American (New),Our first 100 guests during the World Cup will receive a free commemorative cup with their first drink.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-broken-shaker,,fbws
Four Points by Sheraton Midtown Times Square,"326 W. 40th St., Manhattan, NY, 10018",Garment District,Manhattan,Restaurants,Bars/Cocktails,Enjoy $26 beer paring specials at this Midtown hotel throughout World Cup 2026.,$26 Offers,,https://www.marriott.com,https://www.nyctourism.com/offers/fbws-four-points-by-sheraton-midtown-times-square,,fbws
Gabby O’ Hara's,"New York, NY",Garment District,Manhattan,Restaurants,Irish,Enjoy $26 World Cup meal deals at this Midtown Irish pub.,$26 Offers,,https://gabbysnyc.com,https://www.nyctourism.com/offers/fbws-gabby-o-haras,,fbws
Gosuke,"Gosuke, 235 W 35th Street , Ground Floor, New York, NY, 10001",Garment District,Manhattan,Restaurants,Japanese / Sushi,Choose one of our three special meal combos for $26 and receive a commemorative souvenir cup with your purchase!,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-gosuke,,fbws
Kajiken Ramen,"New York, NY",Garment District,Manhattan,Restaurants,Japanese / Sushi,"Celebrate the World Cup with one soba, one appetizer and a draft beer or soft drink for $26, and receive a commemorative cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-kajiken-ramen,,fbws
Mustang Harry's,"352 Seventh Ave., Manhattan, NY, 10001",Garment District,Manhattan,Restaurants,Gastropub; Irish; American (Traditional),Order the Mustang Burger and Harry's Lager for $26 and receive a limited-edition collectible cup.,Limited Edition Cup,United States,https://www.mustangharrys.com,https://www.nyctourism.com/offers/fbws-mustang-harrys,https://watchworldcup.nyc/venues/mustang-harrys,fbws+wwc
The Soccer Republic,,Garment District,Manhattan,Bar,,,,Brazil; Argentina; United States,,,https://watchworldcup.nyc/venues/the-soccer-republic,wwc
Versa,"218 W. 35th St., Manhattan, NY, 10001",Garment District,Manhattan,Restaurants,American (New); Bars/Cocktails,"Get a beer, sliders and fries or a martini, Caesar salad and fries for $26.",Limited Edition Cup; $26 Offers,,https://versanyc.com,https://www.nyctourism.com/offers/fbws-versa,,fbws
Barfly Bar,"New York, NY",Gramercy,Manhattan,Restaurants,American (Traditional),Enjoy sliders and a Stella or Michelob Ultra draft beer for $26.,$26 Offers,,,https://www.nyctourism.com/offers/fbws-barfly-bar,,fbws
Fitzgeralds Pub,"New York, NY",Gramercy,Manhattan,Restaurants,Irish,"$26 Chicken Tenders & Fries with a pint of Fitzgerald’s Lager, including 24oz Promotional Cup while supplies last. Only available during World Cup games.",$26 Offers,,,https://www.nyctourism.com/offers/fbws-fitzgeralds-pub,,fbws
Giorgio's of Gramercy,"27 E. 21st St., Manhattan, NY, 10010",Gramercy,Manhattan,Restaurants,American (New),Get one appetizer and a specialty drink for $26.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-giorgios-of-gramercy,,fbws
Irving Farm Coffee Roasters,"New York, NY",Gramercy,Manhattan,Restaurants,Coffeehouse,Receive a limited-edition World Cup commemorative cup with eligible purpose.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-irving-farm-coffee-roasters,,fbws
Paddy Maguire's Ale House,,Gramercy,Manhattan,Bar,,,,,,,https://watchworldcup.nyc/venues/paddy-maguires-ale-house,wwc
Pete's Tavern,,Gramercy,Manhattan,Bar,,,,,,,https://watchworldcup.nyc/venues/petes-tavern,wwc
Seven Sins,,Gramercy,Manhattan,Bar,,,,England,,,https://watchworldcup.nyc/venues/seven-sins,wwc
The Globe Pub,,Gramercy,Manhattan,Bar,,,,England; United States,,,https://watchworldcup.nyc/venues/the-globe-pub,wwc
Amity Hall Downtown,"80 W. 3rd St., New York, NY, 10012",Greenwich Village,Manhattan,Restaurants,American (New),Enjoy $26 Michelob Ultra buckets and a $26 burger and beer special.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-amity-hall-downtown,https://watchworldcup.nyc/venues/amity-hall-downtown,fbws+wwc
Blue Haven,"New York, NY",Greenwich Village,Manhattan,Restaurants,American (Traditional),Receive a limited-edition World Cup commemorative cup with eligible purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-blue-haven,,fbws
Blue Haven,"New York, NY",Greenwich Village,Manhattan,Restaurants,American (Traditional),"Enjoy 3 sliders and a Stella draft for $26, with Kobe beef, buffalo chicken, or pulled pork.",$26 Offers; Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-blue-haven,,fbws
Chow House,"New York, NY",Greenwich Village,Manhattan,Restaurants,Chinese,Enjoy Chow House's signature Spicy Chicken paired with an ice-cold Beverage for the perfect combo!,$26 Offers,,,https://www.nyctourism.com/offers/fbws-chow-house,,fbws
GMT Tavern,"New York, NY",Greenwich Village,Manhattan,Restaurants,American (Traditional),Score a $26 beer and burger deal at this Greenwich Village pub throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://gmtnyc.com,https://www.nyctourism.com/offers/fbws-gmt-tavern,,fbws
Off the Wagon,,Greenwich Village,Manhattan,Bar,,,,United States,,,https://watchworldcup.nyc/venues/off-the-wagon,wwc
Panineria - Greenwich Village,"New York, NY",Greenwich Village,Manhattan,Restaurants,Italian,This West Village Italian sandwich specialist is offering $26 meal deals for World Cup 2026.,$26 Offers,,https://www.lapanineria.com,https://www.nyctourism.com/offers/fbws-panineria-greenwich-village,,fbws
Reservoir,,Greenwich Village,Manhattan,Bar,,,,,,,https://watchworldcup.nyc/venues/reservoir,wwc
Ribalta,"48 E. 12th St., Manhattan, NY, 10003",Greenwich Village,Manhattan,Restaurants,Italian,"Enjoy potato croquettes, Neapolitan wallet pizza, and your choice of soda or beer.",$26 Offers,,,https://www.nyctourism.com/offers/fbws-ribalta,https://watchworldcup.nyc/venues/ribalta,fbws+wwc
Ribalta,"New York, NY",Greenwich Village,Manhattan,Restaurants,Italian,Select menu items will be available for $26 and come with a free limited-edition cup.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-ribalta-world-cup,,fbws
The Half Pint,"76 W. 3rd St., Manhattan, NY, 10012",Greenwich Village,Manhattan,Restaurants,Gastropub,Enjoy $26 Michelob Ultra buckets and a $26 burger and beer special.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-the-half-pint,,fbws
The Red Lion,,Greenwich Village,Manhattan,Bar,,,,England; United States; Scotland,,,https://watchworldcup.nyc/venues/the-red-lion,wwc
Uncle Ted's,"New York, NY",Greenwich Village,Manhattan,Restaurants,Chinese,Enjoy special $26 prix-fixe menus at this Chinese restaurant throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://uncletedsnyc.com,https://www.nyctourism.com/offers/fbws-uncle-teds,,fbws
Walker Hotel Greenwich Village,"52 W. 13th St., Manhattan, NY, 10011",Greenwich Village,Manhattan,Restaurants,American (Traditional),"Enjoy a World Cup-inspired hotel stay with global flavors, exclusive perks, and collectable passport cups.",Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-walker-hotel-greenwich-village,,fbws
At the Wallace,"New York, NY",Hamilton Heights,Manhattan,Restaurants,American (New),"Choose ANY Burger or Sandwich from our menu, 8 wings or vegan nuggets, and a large draft beer or unlimited soda for $26!",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-at-the-wallace,,fbws
Harlem Public,,Hamilton Heights,Manhattan,Bar,,,,,,,https://watchworldcup.nyc/venues/harlem-public,wwc
L'Artista,"New York, NY",Hamilton Heights,Manhattan,Restaurants,,Our $26 Five Borough Special features your choice of house-made pasta paired with a glass of house wine.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-lartista,,fbws
Patrick's on the Hill,"1635 Amsterdam Ave., Manhattan, NY, 10031",Hamilton Heights,Manhattan,Restaurants,Caribbean,Visit this Caribbean restaurant for special meal deals and commemorative cups throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.patricksonthehill.com,https://www.nyctourism.com/offers/fbws-patricks-on-the-hill,,fbws
Accra Restaurant,,Harlem,Manhattan,Restaurant,,,,Ghana,,,https://watchworldcup.nyc/venues/accra-restaurant,wwc
Africa Kine Restaurant,,Harlem,Manhattan,Restaurant,,,,Senegal,,,https://watchworldcup.nyc/venues/africa-kin-restaurant,wwc
