Venue Name,Type,Neighborhood,Borough/Area,Location,Fan Countries,Description,Venue URL
Bogota Latin Bistro,Restaurant,Park Slope,Brooklyn,"Park Slope, Brooklyn",Colombia,"Restaurant in Park Slope, Brooklyn; listed as a World Cup watch venue for fans of Colombia.",https://watchworldcup.nyc/venues/bogota-latin-bistro
Bohemian Hall & Beer Garden,Bar,Astoria,Queens,"Astoria, Queens",Germany,"Bar in Astoria, Queens; listed as a World Cup watch venue for fans of Germany.",https://watchworldcup.nyc/venues/bohemian-hall-beer-garden
Boteco,Restaurant,Astoria,Queens,"Astoria, Queens",Brazil,"Restaurant in Astoria, Queens; listed as a World Cup watch venue for fans of Brazil.",https://watchworldcup.nyc/venues/boteco
Boulton & Watt,Bar,East Village,Manhattan,"East Village, Manhattan",England; United States,"Bar in East Village, Manhattan; listed as a World Cup watch venue for fans of England; United States.",https://watchworldcup.nyc/venues/boulton-watt
Brady's Bar,Bar,Upper East Side,Manhattan,"Upper East Side, Manhattan",England,"Bar in Upper East Side, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/bradys-bar
Bronx Alehouse,Bar,Kingsbridge,Bronx,"Kingsbridge, Bronx",United States,"Bar in Kingsbridge, Bronx; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/bronx-alehouse
Bronx Draft House,Bar,Concourse,Bronx,"Concourse, Bronx",,"Bar in Concourse, Bronx; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/bronx-draft-house
Brooklyn Fan Zone,fan_zone,DUMBO,Brooklyn,"DUMBO, Brooklyn",,"fan_zone in DUMBO, Brooklyn; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/brooklyn-fan-zone
Brother Jimmy's BBQ (UES),Bar,Upper East Side,Manhattan,"Upper East Side, Manhattan",United States,"Bar in Upper East Side, Manhattan; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/brother-jimmys-bbq-ues
Buenos Aires,Restaurant,East Village,Manhattan,"East Village, Manhattan",Argentina,"Restaurant in East Village, Manhattan; listed as a World Cup watch venue for fans of Argentina.",https://watchworldcup.nyc/venues/buenos-aires
Buka,Restaurant,Clinton Hill,Brooklyn,"Clinton Hill, Brooklyn",,"Restaurant in Clinton Hill, Brooklyn; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/buka
BXL Cafe,Bar,Theater District,Manhattan,"Theater District, Manhattan",Belgium,"Bar in Theater District, Manhattan; listed as a World Cup watch venue for fans of Belgium.",https://watchworldcup.nyc/venues/bxl-cafe
BXL Zoute,Restaurant,Flatiron,Manhattan,"Flatiron, Manhattan",Belgium,"Restaurant in Flatiron, Manhattan; listed as a World Cup watch venue for fans of Belgium.",https://watchworldcup.nyc/venues/bxl-zoute
Caf�� d'Alsace,Restaurant,Upper East Side,Manhattan,"Upper East Side, Manhattan",France,"Restaurant in Upper East Side, Manhattan; listed as a World Cup watch venue for fans of France.",https://watchworldcup.nyc/venues/caf-dalsace
Cafe Mogador,Restaurant,East Village,Manhattan,"East Village, Manhattan",Morocco,"Restaurant in East Village, Manhattan; listed as a World Cup watch venue for fans of Morocco.",https://watchworldcup.nyc/venues/cafe-mogador
Caf�� Rue Dix,Restaurant,Crown Heights,Brooklyn,"Crown Heights, Brooklyn",Senegal; France,"Restaurant in Crown Heights, Brooklyn; listed as a World Cup watch venue for fans of Senegal; France.",https://watchworldcup.nyc/venues/caf-rue-dix
Caff�� Borbone,Restaurant,Astoria,Queens,"Astoria, Queens",Morocco,"Restaurant in Astoria, Queens; listed as a World Cup watch venue for fans of Morocco.",https://watchworldcup.nyc/venues/caffe-borbone
Carragher's Pub & Restaurant,Bar,Financial District,Manhattan,"Financial District, Manhattan",England; United States,"Bar in Financial District, Manhattan; listed as a World Cup watch venue for fans of England; United States.",https://watchworldcup.nyc/venues/carraghers-pub-restaurant
Casa Italiana,Cultural Center,Jersey City,Jersey City,"Jersey City, Jersey City",,"Cultural Center in Jersey City, Jersey City; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/casa-italiana
Central Park Tavern,Bar,Midtown,Manhattan,"Midtown, Manhattan",England; United States,"Bar in Midtown, Manhattan; listed as a World Cup watch venue for fans of England; United States.",https://watchworldcup.nyc/venues/central-park-tavern
Cherry Tree,Bar,Park Slope,Brooklyn,"Park Slope, Brooklyn",United States; England,"Bar in Park Slope, Brooklyn; listed as a World Cup watch venue for fans of United States; England.",https://watchworldcup.nyc/venues/cherry-tree
Chez Oskar,Restaurant,Fort Greene,Brooklyn,"Fort Greene, Brooklyn",France,"Restaurant in Fort Greene, Brooklyn; listed as a World Cup watch venue for fans of France.",https://watchworldcup.nyc/venues/chez-oskar
Churrascaria Plataforma,Restaurant,Hell's Kitchen,Manhattan,"Hell's Kitchen, Manhattan",Brazil,"Restaurant in Hell's Kitchen, Manhattan; listed as a World Cup watch venue for fans of Brazil.",https://watchworldcup.nyc/venues/churrascaria-plataforma
Circulo Espanol,Cultural Center,Astoria,Queens,"Astoria, Queens",Spain,"Cultural Center in Astoria, Queens; listed as a World Cup watch venue for fans of Spain.",https://watchworldcup.nyc/venues/circulo-espanol
City Bistro,Bar,Uptown,Hoboken,"Uptown, Hoboken",United States; England,"Bar in Uptown, Hoboken; listed as a World Cup watch venue for fans of United States; England.",https://watchworldcup.nyc/venues/city-bistro
Cka Ka Qellu,Restaurant,Belmont,Bronx,"Belmont, Bronx",,"Restaurant in Belmont, Bronx; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/cka-ka-qellu
Clinton Hall 36th Street,Beer Garden,Midtown,Manhattan,"Midtown, Manhattan",,"Beer Garden in Midtown, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/clinton-hall-36th-street
Clinton Hall 51st Street,Beer Garden,Hell's Kitchen,Manhattan,"Hell's Kitchen, Manhattan",,"Beer Garden in Hell's Kitchen, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/clinton-hall-51st-street
Clinton Hall Bronx,Beer Garden,Belmont,Bronx,"Belmont, Bronx",United States,"Beer Garden in Belmont, Bronx; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/clinton-hall-bronx
Clinton Hall FiDi,Beer Garden,Financial District,Manhattan,"Financial District, Manhattan",,"Beer Garden in Financial District, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/clinton-hall-fidi
Cloverleaf Tavern,Bar,Caldwell,New Jersey,"Caldwell, New Jersey",,"Bar in Caldwell, New Jersey; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/cloverleaf-tavern
Connolly's Klub 45,Bar,Midtown East,Manhattan,"Midtown East, Manhattan",England,"Bar in Midtown East, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/connollys-klub-45
